ID,group,gender,age_years,handedness_LG,RT_II_hs_ts_mixed,RT_II_hs_td_mixed,RT_II_hd_ts_mixed,RT_II_hd_td_mixed,RT_EE_hs_ts_mixed,RT_EE_hs_td_mixed,RT_EE_hd_ts_mixed,RT_EE_hd_td_mixed,RT_IE_hs_ts_mixed,RT_IE_hs_td_mixed,RT_IE_hd_ts_mixed,RT_IE_hd_td_mixed,RT_EI_hs_ts_mixed,RT_EI_hs_td_mixed,RT_EI_hd_ts_mixed,RT_EI_hd_td_mixed,RT_II_hs_ts_pure,RT_II_hs_td_pure,RT_II_hd_ts_pure,RT_II_hd_td_pure,RT_EE_hs_ts_pure,RT_EE_hs_td_pure,RT_EE_hd_ts_pure,RT_EE_hd_td_pure,MT_II_hs_ts_mixed,MT_II_hs_td_mixed,MT_II_hd_ts_mixed,MT_II_hd_td_mixed,MT_EE_hs_ts_mixed,MT_EE_hs_td_mixed,MT_EE_hd_ts_mixed,MT_EE_hd_td_mixed,MT_IE_hs_ts_mixed,MT_IE_hs_td_mixed,MT_IE_hd_ts_mixed,MT_IE_hd_td_mixed,MT_EI_hs_ts_mixed,MT_EI_hs_td_mixed,MT_EI_hd_ts_mixed,MT_EI_hd_td_mixed,MT_II_hs_ts_pure,MT_II_hs_td_pure,MT_II_hd_ts_pure,MT_II_hd_td_pure,MT_EE_hs_ts_pure,MT_EE_hs_td_pure,MT_EE_hd_ts_pure,MT_EE_hd_td_pure
1,1,m,20,66.6666666666667,585.785365853659,626.3,616.647727272727,657.817073170732,507.327272727273,565.813636363636,643.4,675.263636363636,572.912820512821,651.6,643.17,648.4,747.292682926829,699.169230769231,748.097727272727,750.495454545454,671.162790697675,702.311904761905,599.072093023256,639.92,499.1075,598.097619047619,605.997619047619,573.135714285714,1689.68604651163,1690.41555555556,1640.85,1538.26585365854,577.122727272727,591.806818181818,602.353333333333,567.872727272727,585.1325,588.407142857143,634.905,600.426666666667,1875.68048780488,1726.715,1801.28666666667,1733.91111111111,1714.72222222222,1781.71627906977,1391.19534883721,1723.78048780488,541.248780487805,520.868181818182,524.220930232558,527.273170731707
2,1,w,20,100,651.136170212766,651.329787234042,620.451063829787,639.846808510638,477.166666666667,507.189361702128,545.514893617021,533.640425531915,550.080434782609,559.914583333333,552.85625,534.846808510638,616.252083333333,623.1875,590.465957446809,577.678723404255,700.917021276596,707.7125,632.072340425532,670.382978723404,436.967391304348,481.376595744681,505.454545454545,493.886666666667,1420.03404255319,1383.74893617021,1399.50208333333,1352.3,954.239583333333,957.0375,975.98125,976.6625,960.7,952.81875,964.4625,965.80625,1252.47916666667,1234.31458333333,1259.34893617021,1229.875,1544.11458333333,1501.925,1504.47291666667,1507.88541666667,911.289361702128,914.872340425532,914.195555555556,917.347826086956
3,1,m,21,100,803.413636363636,891.422222222222,749.210638297872,886.895652173913,562.695652173913,631.318181818182,705.923913043478,609.502127659574,665.558695652174,813.784090909091,638.58085106383,583.997777777778,1194.66382978723,997.479545454545,903.719565217391,781.408695652174,958.106818181818,970.323809523809,806.195744680851,746.834042553191,562.697916666667,600.629545454545,560.591489361702,526.140425531915,1720.33409090909,1659.0347826087,1561.0914893617,1554.17659574468,819.015217391305,793.024444444444,851.714893617021,837.139583333333,790.378723404255,817.720454545455,818.641666666667,835.210869565218,1448.61489361702,1483.60652173913,1396.62391304348,1454.78333333333,1777.75555555556,1694.06046511628,1662.40425531915,1635.2170212766,746.09375,749.263043478261,774.170833333333,761.9
4,1,m,19,81.8181818181818,455.610416666667,478.857446808511,483.009090909091,490.677083333333,429.78125,473.710869565217,445.6,456.410869565217,455.591489361702,485.078723404255,453.468888888889,452.821276595745,493.46170212766,526.482222222222,487.937777777778,488.78085106383,490.621739130435,515.609302325581,481.728888888889,465.755813953488,466.212765957447,517.9375,470.258139534884,467.66170212766,754.827083333333,744.95625,710.122222222222,714.270833333333,683.923404255319,694.853333333333,703.224444444444,689.513333333334,696.80625,694.915217391305,699.908695652174,696.579166666667,753.04375,779.147826086957,746.771111111111,726.635416666667,859.395652173913,854.809090909091,806.084782608696,831.795454545454,683.136956521739,689.18085106383,679.386363636364,684.895744680851
5,1,w,19,81.8181818181818,770.814583333333,770.291489361702,676.275555555556,713.602083333333,616.636956521739,693.386666666667,699.808333333333,706.1875,693.344680851064,721.789361702128,688.182608695652,706.75652173913,728.976086956522,744.075,671.55652173913,709.185106382978,783.925531914893,792.10652173913,648.182608695652,645.635416666667,575.002127659575,622.191666666667,629.197777777778,610.357446808511,1141.63617021277,1223.30425531915,1097.8652173913,1153.30425531915,845.289361702128,816.569565217391,840.816666666666,817.8,851.829166666667,849.617021276596,832.020833333333,850.352173913043,1188.0847826087,1215.36595744681,1169.0652173913,1155.77916666667,1110.31914893617,1155.41304347826,1079.86595744681,1054.32708333333,739.08085106383,726.410416666667,741.489130434783,724.55625
6,1,w,18,100,607.185106382979,640.897826086957,714.372340425532,742.666666666667,508.576086956522,534.86,582.204444444444,563.811111111111,622.597826086956,612.038636363637,581.286666666667,577.213043478261,706.677272727273,629.840909090909,630.786666666667,584.097872340425,667.047916666667,660.691304347826,636.272340425532,576.275,436.623913043478,471.009302325581,539.548936170213,497.479545454546,843.229787234043,835.94347826087,826.320833333333,783.202272727273,872.102127659574,855.788888888889,889.097777777778,881.772093023256,891.608510638297,870.45,904.360869565218,880.136956521739,694.302222222222,719.413636363636,722.584444444444,706.495744680851,1094.75,1158.86304347826,1008.92765957447,1033.70625,859.585106382979,848.977272727273,862.325,846.462222222222
7,1,w,18,81.8181818181818,677.739130434783,751.059090909091,665.004545454545,662.995238095238,512.827659574468,571.867391304348,598.147826086957,549.753191489362,595.386956521739,615.223913043478,588.076744186046,542.097727272727,589.204444444444,652.675609756098,601.931111111111,621.563043478261,699.459574468085,695.3,660.252083333333,633.272340425532,486.063414634146,549.840909090909,553.993023255814,501.524444444444,1243.37608695652,1301.76590909091,1224.29777777778,1308.02790697674,1134.54042553192,1109.77446808511,1126.81739130435,1120.16808510638,1118.48,1096.07333333333,1103.92444444444,1143.90681818182,1120.09565217391,1159.02857142857,1143.67777777778,1172.32978723404,1419.02127659574,1366.58085106383,1360.11666666667,1388.83617021277,1019.22857142857,1006.51363636364,1047.57906976744,1024.93043478261
8,1,w,21,100,545.295652173913,680.163043478261,606.684444444444,585.493617021277,508.726666666667,628.806382978723,587.155319148936,565.347826086957,598.4,587.759574468085,556.991489361702,546.324444444444,676.714893617021,687.113043478261,611.328260869565,618.347826086957,512.00625,589.974468085106,524.460416666667,516.816666666667,479.297872340425,508.191489361702,515.882608695652,494.934042553192,772.034042553192,785.417021276596,695.334782608696,691.785416666667,799.221739130435,790.714893617021,789.917021276596,778.66875,801.252173913043,795.608333333333,791.139583333333,791.353333333334,753.352083333334,699.847826086956,686.812765957447,659.66170212766,854.25,878.641666666667,791.945833333333,774.429166666667,787.993617021277,794.325531914894,777.989130434783,768.431914893617
9,1,w,21,81.8181818181818,518.846808510638,648.89375,548.410869565217,567.132608695652,480.082978723404,539.448936170213,522.787234042553,489.325531914894,536.593617021277,562.745652173913,490.586666666667,479.685106382979,579.284444444444,661.844680851064,560.976595744681,534.808695652174,493.876744186046,593.621276595745,511.784782608696,501.308695652174,431.834042553192,499.677083333333,480.474468085106,449.615217391304,1319.36808510638,1273.21458333333,1285.05106382979,1287.34782608696,936.2375,934.525,944.020833333334,935.11914893617,937.270212765957,934.565217391305,960.968888888889,992.641666666667,1158.01739130435,1144.84347826087,1112.54583333333,1194.12127659574,1575.45454545455,1603.86595744681,1549.44468085106,1537.21063829787,861.091489361702,849.229166666667,849.110638297872,855.525531914893
10,1,w,18,63.6363636363636,456.936956521739,474.663829787234,497.447916666667,482.146808510638,412.576595744681,447.765217391304,430.157446808511,420.184444444445,458.632608695652,485.340425531915,453.908695652174,431.087234042553,465.965217391304,476.369565217391,457.821276595745,459.787234042553,544.231914893617,598.9,517.172916666667,551.325531914894,397.935416666667,412.765957446808,408.506382978723,399.046808510638,996.276595744681,1002.67708333333,983.940425531915,971.185416666667,956.817021276596,945.231914893617,940.402083333333,937.046666666667,937.843478260869,918.115217391304,917.4,922.297916666667,977.242553191489,974.302173913043,946.247916666667,943.910416666667,800.504255319149,790.015217391304,761.510416666667,772.482978723404,948.204166666667,957.95,939.902083333333,951.8625
